oyun_adi,puan,fiyat,yas_siniri,guncellenme_tarihi,indirilme_sayisi,tur_adi,URL
Score! Hero,"4,2",0,3,7 Mayıs 2026,,"Spor, Futbol, Basit",https://play.google.com/store/apps/details?id=com.firsttouchgames.story
Bowmasters: Archery Shooting,"3,7",0,12,19 Mayıs 2026,,"Aksiyon, Nişancı, Topçu nişan oyunları, Basit",https://play.google.com/store/apps/details?id=com.playgendary.bowmasters
Battle Cars: Araba Savaşları,"4,4",0,3,7 Şubat 2026,,"Aksiyon, Nişancı, Araçlı savaş",https://play.google.com/store/apps/details?id=com.tinybytes.massivecars
Fire Apocalypse: Zombie Games,"4,6",0,16,7 Mayıs 2026,,"Aksiyon, Nişancı, Kurşun yağdırma",https://play.google.com/store/apps/details?id=com.apocalypse.zombie.games
Hitman Suikastçi Hitman Sniper,"4,2","104,99",16,11 Mart 2026,,"Aksiyon, Nişancı, Keskin nişancı, Basit",https://play.google.com/store/apps/details?id=com.squareenixmontreal.hitmansniperandroid
Piyano Çocukları - Müzik,"4,0",0,3,9 Mart 2026,,"Eğitim, Basit",https://play.google.com/store/apps/details?id=com.orange.kidspiano.music.songs
Kick the Buddy,"3,8",0,12,18 Nisan 2026,,Basit,https://play.google.com/store/apps/details?id=com.playgendary.kickthebuddy
Hill Climb Racing,"4,2",0,3,4 Nisan 2026,,"Yarış, Çarpışan araba, Basit",https://play.google.com/store/apps/details?id=com.fingersoft.hillclimb
Konuşan Tom Arkadaşlarım 2,"4,3",0,3,17 Mayıs 2026,,"Simülasyon, Bakım, Evcil hayvan",https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfriends2
Benim Konuşan Hank'im: Adalar,"4,1",0,3,20 Mart 2026,,"Simülasyon, Bakım, Evcil hayvan, Basit",https://play.google.com/store/apps/details?id=com.outfit7.mytalkinghank
Sonic Dash Run,"4,5",0,3,20 Mart 2026,,"Aksiyon, Platform, Koşucu, Arcade",https://play.google.com/store/apps/details?id=com.sega.sonicdash
Maşa ile Koca Ayı: Arkadaşlar!,"4,3",0,3,9 Mayıs 2026,,"Simülasyon, Bakım, Evcil hayvan, Basit",https://play.google.com/store/apps/details?id=com.devgame.masha.and.bear.my.friends
Pou,"4,1",0,3,12 Nisan 2026,,"Simülasyon, Bakım, Evcil hayvan, Basit",https://play.google.com/store/apps/details?id=me.pou.app
Çocuklar için eğitici oyunlar,"4,4",0,3,10 Mayıs 2026,,"Eğitim, Matematik, Basit",https://play.google.com/store/apps/details?id=com.eruditoplus.funny.food5.kids.toddlers.learning.games
Sonic Forces - Koşu Oyunu,"4,2",0,3,9 Mart 2026,,"Aksiyon, Platform, Koşucu",https://play.google.com/store/apps/details?id=com.sega.sprint
Fluvsies - A Fluff to Luv,"4,2",0,3,19 Mayıs 2026,,"Simülasyon, Bakım, Evcil hayvan, Basit",https://play.google.com/store/apps/details?id=com.tutotoons.app.fluvsies.free
Bebek Pandanın Süpermarketi,"4,2",0,3,9 Mart 2026,,"Simülasyon, Yaşam Tarzı, Basit, Mini oyunlar",https://play.google.com/store/apps/details?id=com.sinyee.babybus.shopping
Küçük Panda'nın Rüya Diyarı,"4,3",0,3,1 Mayıs 2026,,"Simülasyon, Basit",https://play.google.com/store/apps/details?id=com.sinyee.babybus.cube.global
Baby Panda's Town: Ev,"3,5",0,3,2 Ağustos 2024,,"Simülasyon, Yaşam Tarzı, Basit, Mini oyunlar",https://play.google.com/store/apps/details?id=com.sinyee.babybus.marketIII
